chrom	start	end	rDHS	cCRE_type	gene_id	strand
chr10	1056580	1056929	EH38E2880955	PLS	ENSG00000047056.17	
chr10	1159555	1159904	EH38E2881027	PLS	ENSG00000229205.5	+
chr10	2315042	2315287	EH38E2881527	PLS	ENSG00000234556.1	
chr10	3067339	3067660	EH38E2881763	PLS	ENSG00000067057.18	
chr10	3068191	3068518	EH38E2881765	PLS	ENSG00000067057.18	
chr10	3074223	3074554	EH38E2881775	dELS		
chr10	3094709	3095048	EH38E2881794	dELS		
chr10	3095166	3095342	EH38E1442578	dELS		
chr10	3095366	3095712	EH38E1442579	dELS		
chr10	3095784	3095941	EH38E2881795	dELS		
chr10	3172765	3173039	EH38E2881872	PLS	ENSG00000107959.17	-
chr10	3313759	3314105	EH38E2881944	dELS		
chr10	3314274	3314543	EH38E2881945	dELS		
chr10	3314769	3314982	EH38E1442744	dELS		
chr10	3317850	3318198	EH38E2881946	dELS		
chr10	3556220	3556442	EH38E1442954	PLS	ENSG00000236892.2	
chr10	3665417	3665765	EH38E1443028	dELS		
chr10	3665916	3666098	EH38E4000196	dELS		
chr10	3668284	3668618	EH38E2882149	dELS		
chr10	3668660	3668947	EH38E2882150	dELS		
chr10	3763123	3763473	EH38E1443111	dELS		
chr10	3765125	3765460	EH38E2882207	dELS		
chr10	3782876	3783226	EH38E1443151	dELS		
chr10	3784968	3785203	EH38E4000218	PLS	ENSG00000067082.15	-
chr10	3785236	3785586	EH38E2882243	PLS	ENSG00000067082.15	-
chr10	3785236	3785586	EH38E2882243	PLS	ENSG00000288755.1	
chr10	3803443	3803661	EH38E1443174	dELS		
chr10	3803867	3804217	EH38E2882258	dELS		
chr10	3804403	3804753	EH38E2882259	dELS		
chr10	3805234	3805579	EH38E1443178	dELS		
chr10	3805598	3805814	EH38E1443179	dELS		
chr10	3805857	3806206	EH38E1443180	dELS		
chr10	3806226	3806389	EH38E1443181	dELS		
chr10	3806672	3806972	EH38E1443182	dELS		
chr10	3809512	3809859	EH38E4000222	PLS	ENSG00000287175.1	+
chr10	3828449	3828790	EH38E2882284	dELS		
chr10	3828814	3829157	EH38E2882285	dELS		
chr10	3851367	3851708	EH38E2882304	dELS		
chr10	3852151	3852349	EH38E2882305	dELS		
chr10	3852367	3852715	EH38E1443249	dELS		
chr10	3852745	3852944	EH38E2882306	dELS		
chr10	3890898	3891048	EH38E2882345	dELS		
chr10	3891058	3891370	EH38E2882346	dELS		
chr10	3926763	3927102	EH38E1443333	dELS		
chr10	3927142	3927492	EH38E2882371	dELS		
chr10	4663129	4663458	EH38E2882709	dELS		
chr10	4825958	4826304	EH38E1443999	PLS	ENSG00000165568.18	+
chr10	4847639	4847986	EH38E1444017	dELS		
chr10	4848007	4848294	EH38E2882796	dELS		
chr10	4848303	4848497	EH38E1444019	dELS		
chr10	4848609	4848920	EH38E2882797	dELS		
chr10	4848997	4849176	EH38E1444021	dELS		
chr10	4849277	4849528	EH38E2882798	dELS		
chr10	4849630	4849980	EH38E2882799	dELS		
chr10	4850023	4850373	EH38E4000386	dELS		
chr10	4866103	4866280	EH38E1444034	dELS		
chr10	4866465	4866631	EH38E2882805	dELS		
chr10	4866727	4867076	EH38E2882806	dELS		
chr10	4867278	4867479	EH38E1444037	dELS		
chr10	4867619	4867968	EH38E2882807	dELS		
chr10	4868060	4868241	EH38E2882808	dELS		
chr10	4868303	4868638	EH38E2882809	dELS		
chr10	4883085	4883250	EH38E1444042	dELS		
chr10	4883276	4883625	EH38E2882811	dELS		
chr10	4883954	4884180	EH38E2882812	dELS		
chr10	4902511	4902848	EH38E2882817	dELS		
chr10	4902850	4903053	EH38E2882818	dELS		
chr10	4903305	4903654	EH38E1444050	dELS		
chr10	4941571	4941918	EH38E2882826	dELS		
chr10	4941931	4942276	EH38E1444061	dELS		
chr10	4942884	4943180	EH38E2882827	dELS		
chr10	4981738	4981913	EH38E2882845	dELS		
chr10	4981946	4982293	EH38E1444092	dELS		
chr10	5070737	5070916	EH38E1444150	dELS		
chr10	5071447	5071699	EH38E2882882	dELS		
chr10	5071711	5072060	EH38E2882883	dELS		
chr10	5283500	5283800	EH38E1444234	dELS		
chr10	5284464	5284812	EH38E2882943	dELS		
chr10	5291665	5292014	EH38E1444243	dELS		
chr10	5292020	5292221	EH38E1444244	dELS		
chr10	5317708	5318058	EH38E2882959	dELS		
chr10	5412350	5412699	EH38E1444300	PLS	ENSG00000173848.19	+
chr10	5446396	5446746	EH38E1444331	PLS	ENSG00000173848.19	+
chr10	5448634	5448916	EH38E2883021	dELS		
chr10	5448929	5449128	EH38E1444337	dELS		
chr10	5449270	5449463	EH38E2883022	dELS		
chr10	5449828	5450168	EH38E2883023	dELS		
chr10	5460492	5460804	EH38E2883031	dELS		
chr10	5461269	5461610	EH38E2883032	dELS		
chr10	5461815	5462149	EH38E2883033	dELS		
chr10	5462435	5462785	EH38E2883034	dELS		
chr10	5462898	5463110	EH38E4000495	dELS		
chr10	5463275	5463496	EH38E4000496	dELS		
chr10	5466058	5466406	EH38E2883035	dELS		
chr10	5466546	5466888	EH38E1444355	dELS		
chr10	5467072	5467263	EH38E1444356	dELS		
chr10	5467837	5468180	EH38E1444358	dELS		
chr10	5472381	5472559	EH38E2883040	dELS		
chr10	5473451	5473680	EH38E4000501	dELS		
chr10	5474698	5475006	EH38E2883041	dELS		
chr10	5477332	5477507	EH38E1444364	dELS		
chr10	5477637	5477919	EH38E2883044	dELS		
chr10	5478111	5478264	EH38E2883045	dELS		
chr10	5478272	5478621	EH38E2883046	dELS		
chr10	5478788	5479132	EH38E2883047	dELS		
chr10	5479370	5479531	EH38E4000506	dELS		
chr10	5479542	5479890	EH38E1444370	dELS		
chr10	5479956	5480110	EH38E2883048	dELS		
chr10	5480148	5480477	EH38E2883049	dELS		
chr10	5480566	5480822	EH38E2883050	dELS		
chr10	5481247	5481419	EH38E1444374	dELS		
chr10	5485898	5486105	EH38E2883053	dELS		
chr10	5486210	5486510	EH38E2883054	dELS		
chr10	5486550	5486791	EH38E2883055	dELS		
chr10	5486810	5487160	EH38E2883056	dELS		
chr10	5487197	5487413	EH38E2883057	dELS		
chr10	5487599	5487831	EH38E2883058	dELS		
chr10	5488054	5488229	EH38E2883059	dELS		
chr10	5496462	5496791	EH38E2883071	dELS		
chr10	5539308	5539623	EH38E1444443	dELS		
chr10	5545907	5546243	EH38E2883135	dELS		
chr10	5548568	5548866	EH38E2883141	dELS		
chr10	5548873	5549223	EH38E2883142	dELS		
chr10	5549236	5549449	EH38E2883143	dELS		
chr10	5666399	5666739	EH38E2883305	PLS	ENSG00000196372.13	-
chr10	5681970	5682280	EH38E2883313	dELS		
chr10	5684494	5684841	EH38E1444635	PLS	ENSG00000108021.21	
chr10	5692670	5693020	EH38E2883322	PLS	ENSG00000108021.21	
chr10	5813423	5813772	EH38E4000584	PLS	ENSG00000057608.17	
chr10	5813782	5813962	EH38E4000585	PLS	ENSG00000272764.1	+
chr10	5814014	5814166	EH38E1444740	PLS	ENSG00000272764.1	+
chr10	5829259	5829606	EH38E2883389	dELS		
chr10	5889874	5890224	EH38E1444800	PLS	ENSG00000134452.20	+
chr10	5889874	5890224	EH38E1444800	PLS	ENSG00000134461.16	-
chr10	5896300	5896543	EH38E4000607	dELS		
chr10	5896597	5896891	EH38E1444812	dELS		
chr10	5897528	5897858	EH38E2883444	dELS		
chr10	5898150	5898486	EH38E2883445	dELS		
chr10	5934000	5934350	EH38E2883462	dELS		
chr10	5940516	5940711	EH38E2883466	dELS		
chr10	5940881	5941227	EH38E2883467	dELS		
chr10	5971252	5971599	EH38E2883502	dELS		
chr10	5971615	5971791	EH38E1444884	dELS		
chr10	5977468	5977818	EH38E2883512	PLS	ENSG00000134470.21	-
chr10	5977878	5978147	EH38E2883513	PLS	ENSG00000134470.21	-
chr10	5978298	5978458	EH38E2883514	PLS	ENSG00000134470.21	-
chr10	5987698	5988035	EH38E2883526	dELS		
chr10	6088742	6089091	EH38E2883653	PLS	ENSG00000134453.16	+
chr10	6089230	6089570	EH38E2883654	PLS	ENSG00000134453.16	+
chr10	6144694	6145044	EH38E2883708	PLS	ENSG00000170525.21	+
chr10	6162620	6162956	EH38E2883725	dELS		
chr10	6163388	6163594	EH38E2883727	dELS		
chr10	6163641	6163991	EH38E1445072	dELS		
chr10	6164012	6164170	EH38E2883728	dELS		
chr10	6164231	6164395	EH38E4000659	dELS		
chr10	6164664	6164839	EH38E2883730	dELS		
chr10	6164855	6165114	EH38E2883731	dELS		
chr10	6202679	6203029	EH38E2883778	PLS	ENSG00000170525.21	+
chr10	6202679	6203029	EH38E2883778	PLS	ENSG00000213994.3	
chr10	6445722	6446023	EH38E2883983	dELS		
chr10	6446047	6446205	EH38E1445314	dELS		
chr10	6471877	6472104	EH38E1445330	dELS		
chr10	6473438	6473788	EH38E1445332	dELS		
chr10	6473961	6474310	EH38E2883995	dELS		
chr10	6515087	6515437	EH38E2884031	dELS		
chr10	6580021	6580237	EH38E4000741	PLS	ENSG00000065675.16	-
chr10	6580240	6580581	EH38E2884078	PLS	ENSG00000065675.16	-
chr10	6580240	6580581	EH38E2884078	PLS	ENSG00000237943.8	+
chr10	6580593	6580813	EH38E2884079	PLS	ENSG00000237943.8	+
chr10	6927563	6927912	EH38E1445615	dELS		
chr10	7007652	7007987	EH38E2884255	dELS		
chr10	7027041	7027226	EH38E2884260	dELS		
chr10	7027291	7027476	EH38E1445656	dELS		
chr10	7027590	7027881	EH38E2884261	dELS		
chr10	7028059	7028229	EH38E2884262	dELS		
chr10	7028290	7028597	EH38E2884263	dELS		
chr10	7028650	7028948	EH38E2884264	dELS		
chr10	7029207	7029419	EH38E2884265	dELS		
chr10	7042691	7043016	EH38E2884276	dELS		
chr10	7168482	7168690	EH38E2884324	dELS		
chr10	7179627	7179828	EH38E2884330	dELS		
chr10	7180315	7180657	EH38E1445725	dELS		
chr10	7231022	7231260	EH38E1445755	dELS		
chr10	7231377	7231708	EH38E4000895	dELS		
chr10	7233223	7233421	EH38E2884362	dELS		
chr10	7233642	7233988	EH38E2884363	dELS		
chr10	7252137	7252486	EH38E2884371	dELS		
chr10	7257002	7257152	EH38E2884377	dELS		
chr10	7383574	7383806	EH38E2884458	dELS		
chr10	7399602	7399812	EH38E2884466	dELS		
chr10	7400177	7400377	EH38E2884467	dELS		
chr10	7408522	7408723	EH38E2884475	PLS	ENSG00000198879.13	-
chr10	7408729	7409000	EH38E2884476	PLS	ENSG00000198879.13	-
chr10	7409068	7409233	EH38E1445888	PLS	ENSG00000198879.13	-
chr10	7409236	7409578	EH38E2884477	PLS	ENSG00000198879.13	-
chr10	7410923	7411269	EH38E2884482	PLS	ENSG00000198879.13	-
chr10	7411292	7411524	EH38E2884483	PLS	ENSG00000198879.13	-
chr10	7787948	7788298	EH38E1446153	PLS	ENSG00000151657.12	-
chr10	7787948	7788298	EH38E1446153	PLS	ENSG00000165629.20	+
chr10	7797491	7797832	EH38E2884693	dELS		
chr10	7818265	7818614	EH38E2884702	PLS	ENSG00000165632.9	+
chr10	7969684	7970025	EH38E1446253	dELS		
chr10	8053372	8053721	EH38E2884797	PLS	ENSG00000197308.9	
chr10	9824605	9824948	EH38E2885375	dELS		
chr10	9825391	9825741	EH38E1447144	dELS		
chr10	9878101	9878344	EH38E1447159	PLS	ENSG00000228636.3	
chr10	11141475	11141825	EH38E2885714	dELS		
chr10	11141846	11142169	EH38E1447745	dELS		
chr10	11145476	11145824	EH38E2885718	dELS		
chr10	11164688	11165033	EH38E2885740	PLS	ENSG00000048740.19	+
chr10	11165046	11165216	EH38E1447783	PLS	ENSG00000048740.19	+
chr10	11165239	11165534	EH38E2885741	PLS	ENSG00000048740.19	+
chr10	11178237	11178395	EH38E2885767	dELS		
chr10	11178671	11179020	EH38E1447812	dELS		
chr10	11179106	11179384	EH38E2885768	dELS		
chr10	11180312	11180659	EH38E2885769	dELS		
chr10	11499429	11499779	EH38E2886014	dELS		
chr10	11538887	11539082	EH38E2886030	dELS		
chr10	11539176	11539396	EH38E2886031	dELS		
chr10	11539406	11539756	EH38E2886032	dELS		
chr10	11552200	11552542	EH38E2886036	dELS		
chr10	11601644	11601988	EH38E2886058	dELS		
chr10	11602945	11603294	EH38E1448196	dELS		
chr10	11603302	11603572	EH38E2886060	dELS		
chr10	11603756	11604095	EH38E2886061	dELS		
chr10	11605098	11605316	EH38E1448202	dELS		
chr10	11605851	11606196	EH38E2886064	dELS		
chr10	11608307	11608601	EH38E2886067	dELS		
chr10	11608625	11608906	EH38E2886068	dELS		
chr10	11609131	11609365	EH38E2886069	dELS		
chr10	11611061	11611251	EH38E4001767	PLS	ENSG00000271360.1	+
chr10	11611275	11611497	EH38E2886073	PLS	ENSG00000271360.1	+
chr10	11611569	11611912	EH38E1448217	PLS	ENSG00000148429.15	-
chr10	11639739	11640064	EH38E2886095	dELS		
chr10	11640216	11640565	EH38E1448239	dELS		
chr10	11640596	11640858	EH38E2886096	dELS		
chr10	11684854	11685146	EH38E4001777	dELS		
chr10	11685148	11685318	EH38E1448284	dELS		
chr10	11685875	11686223	EH38E1448286	dELS		
chr10	11687325	11687675	EH38E2886132	dELS		
chr10	11710492	11710663	EH38E2886155	dELS		
chr10	11710733	11711080	EH38E1448311	dELS		
chr10	11711088	11711304	EH38E4001787	dELS		
chr10	11737721	11737983	EH38E1448330	dELS		
chr10	11742182	11742527	EH38E2886169	PLS	ENSG00000134463.15	+
chr10	11823158	11823494	EH38E1448384	PLS	ENSG00000148426.13	
chr10	11871603	11871756	EH38E2886256	dELS		
chr10	11874549	11874707	EH38E2886261	dELS		
chr10	11874836	11875186	EH38E2886262	dELS		
chr10	11875254	11875455	EH38E2886263	dELS		
chr10	11875466	11875748	EH38E2886264	dELS		
chr10	11875853	11876203	EH38E1448431	dELS		
chr10	11876401	11876636	EH38E2886265	dELS		
chr10	11892302	11892480	EH38E2886289	dELS		
chr10	11892562	11892715	EH38E2886290	dELS		
chr10	11894632	11894946	EH38E1448460	PLS	ENSG00000225778.5	
chr10	11896644	11896976	EH38E2886297	dELS		
chr10	11897461	11897614	EH38E2886298	dELS		
chr10	11897815	11898065	EH38E2886299	dELS		
chr10	11898306	11898507	EH38E2886300	dELS		
chr10	11898557	11898890	EH38E2886301	dELS		
chr10	11899084	11899307	EH38E2886302	dELS		
chr10	11901459	11901794	EH38E2886306	dELS		
chr10	11901870	11902059	EH38E1448469	dELS		
chr10	11902183	11902531	EH38E1448470	dELS		
chr10	12042796	12043069	EH38E2886355	PLS	ENSG00000151461.20	-
chr10	12043129	12043479	EH38E1448535	PLS	ENSG00000151461.20	-
chr10	12055733	12056082	EH38E2886362	dELS		
chr10	12056784	12057132	EH38E2886363	dELS		
chr10	12063189	12063447	EH38E2886365	dELS		
chr10	12063465	12063813	EH38E2886366	dELS		
chr10	12068670	12069020	EH38E1448551	PLS	ENSG00000181192.12	+
chr10	12129374	12129724	EH38E2886400	PLS	ENSG00000065665.21	+
chr10	12129824	12129989	EH38E2886401	PLS	ENSG00000065665.21	+
chr10	12195614	12195771	EH38E2886427	PLS	ENSG00000165609.13	
chr10	12195779	12196043	EH38E2886428	PLS	ENSG00000165609.13	
chr10	12196045	12196311	EH38E2886429	PLS	ENSG00000151465.14	+
chr10	12196045	12196311	EH38E2886429	PLS	ENSG00000165609.13	
chr10	12196316	12196473	EH38E1448627	PLS	ENSG00000151465.14	+
chr10	12264268	12264478	EH38E4001905	dELS		
chr10	12264497	12264847	EH38E4001906	dELS		
chr10	12265275	12265440	EH38E1448676	dELS		
chr10	12265766	12266116	EH38E1448677	dELS		
chr10	12349371	12349720	EH38E2886508	PLS	ENSG00000183049.14	+
chr10	13099191	13099541	EH38E2886930	PLS	ENSG00000123240.17	+
chr10	13099767	13100110	EH38E1449255	PLS	ENSG00000289266.1	-
chr10	13100111	13100269	EH38E2886931	PLS	ENSG00000123240.17	+
chr10	13115836	13116179	EH38E2886946	dELS		
chr10	13161283	13161632	EH38E2886964	PLS	ENSG00000065328.17	+
chr10	13268825	13269175	EH38E2886991	dELS		
chr10	13270880	13271227	EH38E2886992	dELS		
chr10	13271299	13271461	EH38E2886993	dELS		
chr10	13271637	13271987	EH38E1449346	dELS		
chr10	13299434	13299784	EH38E2887003	PLS	ENSG00000107537.14	-
chr10	13299935	13300279	EH38E1449365	PLS	ENSG00000107537.14	-
chr10	13302292	13302587	EH38E2887009	PLS	ENSG00000107537.14	-
chr10	13348165	13348511	EH38E4002147	PLS	ENSG00000086475.15	-
chr10	13348165	13348511	EH38E4002147	PLS	ENSG00000289585.1	
chr10	13404347	13404621	EH38E2887061	dELS		
chr10	13417614	13417814	EH38E2887069	dELS		
chr10	13418072	13418301	EH38E2887070	dELS		
chr10	13528916	13529265	EH38E2887115	PLS	ENSG00000165626.19	-
chr10	13586725	13587073	EH38E2887133	PLS	ENSG00000165630.14	
chr10	13704532	13704742	EH38E2887209	dELS		
chr10	13705806	13706155	EH38E2887211	dELS		
chr10	13706649	13706976	EH38E2887212	dELS		
chr10	13707188	13707408	EH38E1449636	dELS		
chr10	13707484	13707834	EH38E1449637	dELS		
chr10	13712947	13713297	EH38E2887221	dELS		
chr10	14181305	14181583	EH38E1450035	dELS		
chr10	14182856	14183101	EH38E1450037	dELS		
chr10	14184876	14185073	EH38E4002325	dELS		
chr10	14185078	14185331	EH38E4002326	dELS		
chr10	14185532	14185879	EH38E1450042	dELS		
chr10	14185898	14186248	EH38E4002327	dELS		
chr10	14604253	14604603	EH38E2887741	PLS	ENSG00000065809.14	-
chr10	14837994	14838343	EH38E1450531	PLS	ENSG00000185267.10	-
chr10	14837994	14838343	EH38E1450531	PLS	ENSG00000187522.16	+
chr10	14837994	14838343	EH38E1450531	PLS	ENSG00000284024.4	+
chr10	14878593	14878942	EH38E1450553	PLS	ENSG00000152455.16	+
chr10	14878593	14878942	EH38E1450553	PLS	ENSG00000272853.1	
chr10	14889405	14889738	EH38E2887900	dELS		
chr10	14939075	14939287	EH38E2887908	dELS		
chr10	14951643	14951810	EH38E2887914	dELS		
chr10	14954062	14954411	EH38E1450596	PLS	ENSG00000152457.18	
chr10	14959162	14959495	EH38E1450598	PLS	ENSG00000197889.10	+
chr10	15035311	15035661	EH38E2887941	dELS		
chr10	15088668	15089002	EH38E2887958	PLS	ENSG00000176244.7	-
chr10	15097044	15097392	EH38E1450652	PLS	ENSG00000152464.15	+
chr10	15097044	15097392	EH38E1450652	PLS	ENSG00000176236.6	-
chr10	15168538	15168700	EH38E2888003	PLS	ENSG00000152465.18	-
chr10	15313898	15314244	EH38E2888079	dELS		
chr10	15325606	15325955	EH38E1450835	dELS		
chr10	15344892	15345242	EH38E2888100	dELS		
chr10	15371062	15371412	EH38E2888121	PLS	ENSG00000148468.17	-
chr10	15439228	15439464	EH38E1450904	dELS		
chr10	15439465	15439815	EH38E2888150	dELS		
chr10	15440515	15440736	EH38E2888152	dELS		
chr10	15440860	15441155	EH38E4002641	dELS		
chr10	15442084	15442422	EH38E2888153	dELS		
chr10	15450907	15451065	EH38E1450914	dELS		
chr10	15451167	15451517	EH38E2888159	dELS		
chr10	15451587	15451787	EH38E1450916	dELS		
chr10	15461403	15461592	EH38E2888164	dELS		
chr10	15483607	15483954	EH38E1450939	dELS		
chr10	15658186	15658401	EH38E2888229	dELS		
chr10	15795173	15795522	EH38E2888282	dELS		
chr10	15801171	15801497	EH38E2888285	dELS		
chr10	15802392	15802742	EH38E2888286	dELS		
chr10	15802764	15802948	EH38E2888287	dELS		
chr10	15805620	15805813	EH38E2888289	dELS		
chr10	15808603	15808807	EH38E1451126	dELS		
chr10	15809447	15809796	EH38E2888290	dELS		
chr10	15860362	15860706	EH38E2888312	PLS	ENSG00000148481.14	-
chr10	16436747	16437097	EH38E1451250	PLS	ENSG00000165983.15	+
chr10	16470813	16471144	EH38E1451266	dELS		
chr10	16817398	16817748	EH38E2888495	PLS	ENSG00000148484.18	-
chr10	16817398	16817748	EH38E2888495	PLS	ENSG00000286958.1	
chr10	16891424	16891771	EH38E1451484	dELS		
chr10	16891924	16892239	EH38E2888524	dELS		
chr10	16996040	16996195	EH38E2888571	dELS		
chr10	16996205	16996546	EH38E2888572	dELS		
chr10	16996661	16997003	EH38E1451571	dELS		
chr10	17029581	17029913	EH38E1451617	dELS		
chr10	17029969	17030126	EH38E1451618	dELS		
chr10	17196671	17197011	EH38E2888674	dELS		
chr10	17199308	17199492	EH38E2888675	dELS		
chr10	17201316	17201666	EH38E2888677	PLS	ENSG00000107614.22	-
chr10	17201695	17202036	EH38E2888678	PLS	ENSG00000107614.22	-
chr10	17214963	17215143	EH38E1451790	dELS		
chr10	17215147	17215466	EH38E1451791	dELS		
chr10	17216282	17216602	EH38E1451794	dELS		
chr10	17216613	17216843	EH38E1451795	dELS		
chr10	17228099	17228287	EH38E2888707	PLS	ENSG00000026025.16	+
chr10	17229025	17229374	EH38E2888709	PLS	ENSG00000026025.16	+
chr10	17244678	17244868	EH38E2888738	dELS		
chr10	17244971	17245320	EH38E2888739	dELS		
chr10	17348432	17348638	EH38E1451880	dELS		
chr10	17348659	17349007	EH38E2888763	dELS		
chr10	17349011	17349247	EH38E1451882	dELS		
chr10	17386723	17387073	EH38E2888773	PLS	ENSG00000204832.10	
chr10	17415289	17415616	EH38E1451913	dELS		
chr10	17423691	17424017	EH38E2888787	dELS		
chr10	17425187	17425375	EH38E2888789	dELS		
chr10	17425429	17425646	EH38E2888790	dELS		
chr10	17425923	17426273	EH38E1451922	dELS		
chr10	17426359	17426704	EH38E1451923	dELS		
chr10	17427351	17427680	EH38E2888791	dELS		
chr10	17427781	17427954	EH38E2888792	dELS		
chr10	17428042	17428384	EH38E2888793	dELS		
chr10	17428534	17428718	EH38E2888794	dELS		
chr10	17428724	17429073	EH38E2888795	dELS		
chr10	17429281	17429549	EH38E2888796	dELS		
chr10	17430781	17431079	EH38E2888797	dELS		
chr10	17431101	17431299	EH38E4003012	dELS		
chr10	17431844	17432030	EH38E2888798	dELS		
chr10	17432035	17432366	EH38E2888799	dELS		
chr10	17435276	17435459	EH38E1451937	dELS		
chr10	17435572	17435773	EH38E2888803	dELS		
chr10	17436026	17436360	EH38E2888804	dELS		
chr10	17451990	17452169	EH38E2888816	dELS		
chr10	17452388	17452693	EH38E2888817	dELS		
chr10	17454356	17454603	EH38E2888822	PLS	ENSG00000148488.17	-
chr10	17457071	17457416	EH38E2888828	dELS		
chr10	17472897	17473245	EH38E1451962	dELS		
chr10	17473303	17473564	EH38E2888835	dELS		
chr10	17473753	17473931	EH38E1451964	dELS		
chr10	17474697	17474871	EH38E1451965	dELS		
chr10	17506445	17506793	EH38E2888842	dELS		
chr10	17509169	17509518	EH38E1451976	dELS		
chr10	17617095	17617247	EH38E4003055	PLS	ENSG00000165996.14	-
chr10	17617303	17617639	EH38E4003056	PLS	ENSG00000165996.14	-
chr10	17643855	17644009	EH38E2888896	PLS	ENSG00000260589.1	-
chr10	17644011	17644254	EH38E2888897	PLS	ENSG00000136738.15	+
chr10	17645981	17646327	EH38E1452047	dELS		
chr10	17655900	17656151	EH38E2888912	dELS		
chr10	17656735	17657080	EH38E1452067	dELS		
chr10	17662653	17663003	EH38E1452079	dELS		
chr10	17673831	17674148	EH38E1452097	dELS		
chr10	17684019	17684272	EH38E2888945	dELS		
chr10	18582856	18583206	EH38E4003214	dELS		
chr10	18649424	18649678	EH38E2889309	dELS		
chr10	18651506	18651853	EH38E2889312	PLS	ENSG00000241058.4	-
chr10	18659135	18659485	EH38E1452646	PLS	ENSG00000165997.5	+
chr10	18659491	18659682	EH38E2889317	PLS	ENSG00000165997.5	+
chr10	21041720	21042066	EH38E2889885	dELS		
chr10	21042176	21042396	EH38E2889886	dELS		
chr10	21043084	21043432	EH38E1453541	dELS		
chr10	21044355	21044651	EH38E2889887	dELS		
chr10	21044690	21044904	EH38E2889888	dELS		
chr10	21090644	21090992	EH38E1453570	dELS		
chr10	21097493	21097843	EH38E1453575	dELS		
chr10	21166925	21167267	EH38E2889929	dELS		
chr10	21173899	21174081	EH38E2889939	PLS	ENSG00000231920.1	
chr10	21174089	21174259	EH38E2889940	PLS	ENSG00000078114.19	-
chr10	21183099	21183329	EH38E1453635	dELS		
chr10	21183605	21183923	EH38E1453636	dELS		
chr10	21185091	21185344	EH38E2889946	dELS		
chr10	21208800	21209031	EH38E2889953	dELS		
chr10	21496683	21496920	EH38E1453877	PLS	ENSG00000222071.1	-
chr10	21497183	21497531	EH38E2890111	PLS	ENSG00000204682.8	
chr10	21517610	21517875	EH38E4003745	PLS	ENSG00000180592.17	-
chr10	21524514	21524685	EH38E1453953	PLS	ENSG00000078403.17	+
chr10	21524707	21524920	EH38E1453954	PLS	ENSG00000078403.17	+
chr10	21525575	21525847	EH38E1453958	PLS	ENSG00000180592.17	-
chr10	21526271	21526593	EH38E1453960	PLS	ENSG00000286881.1	
chr10	21526612	21526775	EH38E2890164	PLS	ENSG00000286881.1	
chr10	21528625	21528781	EH38E1453968	dELS		
chr10	21528828	21529004	EH38E2890166	dELS		
chr10	21529017	21529233	EH38E2890167	dELS		
chr10	21529265	21529428	EH38E2890168	dELS		
chr10	21533997	21534346	EH38E2890177	PLS	ENSG00000078403.17	+
chr10	21534439	21534589	EH38E2890178	PLS	ENSG00000078403.17	+
chr10	21550230	21550427	EH38E1453995	dELS		
chr10	21574577	21574796	EH38E2890189	dELS		
chr10	21797579	21797781	EH38E2890290	dELS		
chr10	21805448	21805625	EH38E1454156	dELS		
chr10	21805687	21806034	EH38E1454157	dELS		
chr10	21807159	21807506	EH38E2890294	dELS		
chr10	21808596	21808945	EH38E2890295	dELS		
chr10	21810662	21810914	EH38E2890297	dELS		
chr10	21811026	21811244	EH38E1454162	dELS		
chr10	21811255	21811568	EH38E1454163	dELS		
chr10	21950587	21950924	EH38E1454221	dELS		
chr10	21961801	21962144	EH38E2890342	dELS		
chr10	21962405	21962730	EH38E2890343	dELS		
chr10	22003617	22003966	EH38E2890368	PLS	ENSG00000136770.11	-
chr10	22017314	22017651	EH38E1454264	dELS		
chr10	22017721	22017900	EH38E2890374	dELS		
chr10	22022285	22022565	EH38E1454267	dELS		
chr10	22022766	22023113	EH38E2890375	dELS		
chr10	22042562	22042904	EH38E2890377	dELS		
chr10	22042927	22043136	EH38E2890378	dELS		
chr10	22133976	22134161	EH38E2890393	dELS		
chr10	22134186	22134485	EH38E1454301	dELS		
chr10	22160061	22160297	EH38E2890399	dELS		
chr10	22228162	22228443	EH38E2890411	dELS		
chr10	22229095	22229301	EH38E4003894	dELS		
chr10	22229327	22229671	EH38E4003895	dELS		
chr10	22230143	22230322	EH38E1454323	dELS		
chr10	22230330	22230481	EH38E1454324	dELS		
chr10	22230481	22230831	EH38E1454325	dELS		
chr10	22313139	22313310	EH38E2890455	dELS		
chr10	22316184	22316531	EH38E2890462	PLS	ENSG00000148444.16	+
chr10	22316184	22316531	EH38E2890462	PLS	ENSG00000269897.5	+
chr10	22318296	22318560	EH38E2890464	dELS		
chr10	22318590	22318824	EH38E2890465	dELS		
chr10	22320988	22321236	EH38E2890469	PLS	ENSG00000168283.14	+
chr10	22324444	22324658	EH38E2890478	dELS		
chr10	22325275	22325510	EH38E2890481	dELS		
chr10	22325536	22325710	EH38E2890482	dELS		
chr10	22325719	22325889	EH38E2890483	dELS		
chr10	22325906	22326082	EH38E2890484	dELS		
chr10	22340538	22340849	EH38E4003906	PLS	ENSG00000272366.1	-
chr10	22368954	22369283	EH38E1454446	dELS		
chr10	22369515	22369860	EH38E1454447	dELS		
chr10	22389847	22390197	EH38E2890534	dELS		
chr10	22390213	22390556	EH38E2890535	dELS		
chr10	22390576	22390926	EH38E4003924	dELS		
chr10	22391632	22391955	EH38E2890536	dELS		
